#{"t_start": 1597825671.7083817, "env_id": null}
r,l,t
0.0,303,1596.596798
0.0,303,1599.137009
0.0,303,1601.723094
0.0,303,1604.268291
0.0,303,1607.168539
0.0,303,1610.317122
0.0,303,1613.537515
0.0,303,1616.021873
0.0,303,1618.60098
0.0,303,1621.601957
0.0,303,1624.104268
0.0,303,1627.451322
0.0,303,1630.874683
0.0,303,1633.878653
0.0,303,1636.902569
0.0,303,1640.215714
0.0,303,1643.76722
0.0,303,1646.431099
0.0,303,1649.195221
0.0,303,1651.856108
0.0,303,1654.894014
0.0,303,1660.647635
0.0,303,1663.560847
0.0,303,1666.41422
0.0,303,1669.564798
0.0,303,1671.963386
0.0,303,1674.681121
0.0,303,1677.370932
0.0,303,1680.281153
0.0,303,1683.209325
0.0,303,1685.913098
0.0,303,1688.532606
0.0,303,1691.339107
0.0,303,1694.171533
0.0,303,1697.104693
0.0,303,1699.801484
0.0,303,1702.865294
0.0,303,1705.631898
0.0,303,1708.655817
0.0,303,1711.755531
0.0,303,1714.600923
0.0,303,1717.734547
0.0,303,1721.500482
0.0,303,1724.656047
0.0,303,1727.313941
0.0,303,1729.770375
0.0,303,1732.761379
0.0,303,1735.370405
0.0,303,1738.094124
0.0,303,1741.0961
0.0,303,1744.155923
0.0,303,1746.656237
0.0,303,1749.188469
0.0,303,1751.805473
0.0,303,1754.41051
0.0,303,1756.851984
0.0,303,1759.233617
0.0,303,1761.510531
0.0,303,1763.833322
0.0,303,1766.114225
0.0,303,1768.420061
0.0,303,1770.959273
0.0,303,1773.930331
0.0,303,1776.377789
0.0,303,1778.970858
0.0,303,1781.961864
0.0,303,1784.68259
0.0,303,1787.766347
0.0,303,1790.849108
0.0,303,1793.467108
0.0,303,1796.124007
0.0,303,1798.746996
0.0,303,1801.336074
0.0,303,1803.634929
0.0,303,1805.918824
0.0,303,1808.227652
0.0,303,1810.871586
0.0,303,1813.39883
0.0,303,1815.959985
0.0,303,1818.815352
0.0,303,1821.624841
0.0,303,1824.534575
0.0,303,1827.219399
0.0,303,1829.569117
0.0,303,1832.151216
0.0,303,1834.557783
